4s,6s,SR,balls,batsmanName,battingPos,dismissal,match,runs,teamInnings,out_notout,scorecard
4,7,182 97,47,Alex Hales,2.0,,India Vs England,86,England,notout,T20I   1878
0,1,107 14,14,Mohammad Rizwan ,1.0, b Curran,Pakistan Vs England,15,Pakistan,out,T20I   1879
2,0,114 28,28,Babar Azam c ,2.0,c   b Rashid,Pakistan Vs England,32,Pakistan,out,T20I   1879
1,0,66 66,12,Mohammad Haris,3.0,c Stokes b Rashid,Pakistan Vs England,8,Pakistan,out,T20I   1879
2,1,135 71,28,Shan Masood,4.0,c Livingstone b Curran,Pakistan Vs England,38,Pakistan,out,T20I   1879
0,0,0 00,6,Iftikhar Ahmed,5.0,c  Buttler b Stokes,Pakistan Vs England,0,Pakistan,out,T20I   1879
2,0,142 85,14,Shadab Khan,6.0,c Woakes b Jordan,Pakistan Vs England,20,Pakistan,out,T20I   1879
0,0,71 42,7,Mohammad Nawaz,7.0,c Livingstone b Curran,Pakistan Vs England,5,Pakistan,out,T20I   1879
0,0,50 00,8,Mohammad Wasim,8.0,c Livingstone b Jordan,Pakistan Vs England,4,Pakistan,out,T20I   1879
1,0,166 66,3,Shaheen Shah Afridi,9.0,,Pakistan Vs England,5,Pakistan,notout,T20I   1879
0,0,100 00,1,Haris Rauf,10.0,,Pakistan Vs England,1,Pakistan,notout,T20I   1879
3,1,152 94,17,Jos Buttler c  ,1.0,c  Mohammad Rizwan b Haris Rauf,Pakistan Vs England,26,England,out,T20I   1879
0,0,50 00,2,Alex Hales,2.0, b Shaheen Shah Afridi,Pakistan Vs England,1,England,out,T20I   1879
2,0,111 11,9,Phil Salt,3.0,c Iftikhar Ahmed b Haris Rauf,Pakistan Vs England,10,England,out,T20I   1879
5,1,106 12,49,Ben Stokes,4.0,,Pakistan Vs England,52,England,notout,T20I   1879
1,0,86 95,23,Harry Brook,5.0,c Shaheen Shah Afridi b Shadab Khan,Pakistan Vs England,20,England,out,T20I   1879
3,0,146 15,13,Moeen Ali,6.0, b Mohammad Wasim,Pakistan Vs England,19,England,out,T20I   1879
0,0,100 00,1,Liam Livingstone,7.0,,Pakistan Vs England,1,England,notout,T20I   1879
