0s,4s,6s,bowlerName,bowlingTeam,economy,maiden,match,noBalls,overs,runs,wickets,wides,scorecard
11,8,0,Mitchell Starc,Australia,10 75,1,Australia Vs Ireland,1,4,43,2,2,T20I   1855
9,1,0,Adam Zampa,Australia,4 75,0,Australia Vs Ireland,0,4,19,2,0,T20I   1855
2,0,0,Marcus Stoinis,Australia,6 00,0,Australia Vs Ireland,0,1,6,1,0,T20I   1855
11,2,1,Kasun Rajitha,Sri Lanka,7 75,0,Afghanistan Vs Sri Lanka,1,4,31,1,1,T20I   1856
7,2,1,Pramod Madushan,Sri Lanka,8 00,0,Afghanistan Vs Sri Lanka,0,3,24,0,0,T20I   1856
12,2,1,Lahiru Kumara,Sri Lanka,7 50,0,Afghanistan Vs Sri Lanka,0,4,30,2,4,T20I   1856
5,1,1,Maheesh Theekshana,Sri Lanka,8 25,0,Afghanistan Vs Sri Lanka,0,4,33,0,1,T20I   1856
12,0,0,Wanindu Hasaranga de Silva,Sri Lanka,3 25,0,Afghanistan Vs Sri Lanka,0,4,13,3,0,T20I   1856
1,1,0,Dhananjaya de Silva,Sri Lanka,9 00,0,Afghanistan Vs Sri Lanka,0,1,9,1,0,T20I   1856
11,3,0,Fazalhaq Farooqi,Afghanistan,6 28,1,Afghanistan Vs Sri Lanka,0,3 3,22,0,1,T20I   1856
12,3,0,Mujeeb Ur Rahman,Afghanistan,6 00,0,Afghanistan Vs Sri Lanka,0,4,24,2,0,T20I   1856
3,3,1,Fareed Ahmad,Afghanistan,12 50,0,Afghanistan Vs Sri Lanka,0,2,25,0,1,T20I   1856
10,2,1,Rashid Khan,Afghanistan,7 75,0,Afghanistan Vs Sri Lanka,0,4,31,2,1,T20I   1856
2,1,0,Azmatullah Omarzai,Afghanistan,8 50,0,Afghanistan Vs Sri Lanka,0,2,17,0,1,T20I   1856
2,0,1,Mohammad Nabi,Afghanistan,8 00,0,Afghanistan Vs Sri Lanka,0,2,16,0,0,T20I   1856
1,2,0,Gulbadin Naib,Afghanistan,12 00,0,Afghanistan Vs Sri Lanka,0,1,12,0,0,T20I   1856
8,4,1,Trent Boult,New Zealand,10 00,0,England Vs New Zealand,0,4,40,0,1,T20I   1858
9,3,3,Tim Southee,New Zealand,10 75,0,England Vs New Zealand,0,4,43,1,0,T20I   1858
8,2,0,Mitchell Santner,New Zealand,6 25,0,England Vs New Zealand,0,4,25,1,0,T20I   1858
6,4,2,Lockie Ferguson,New Zealand,11 25,0,England Vs New Zealand,1,4,45,2,0,T20I   1858
10,2,0,Ish Sodhi,New Zealand,5 75,0,England Vs New Zealand,0,4,23,1,0,T20I   1858
3,0,0,Moeen Ali,England,4 00,0,England Vs New Zealand,0,1,4,0,0,T20I   1858
9,1,2,Chris Woakes,England,8 25,0,England Vs New Zealand,0,4,33,2,1,T20I   1858
6,0,2,Adil Rashid,England,8 25,0,England Vs New Zealand,0,4,33,0,0,T20I   1858
9,0,0,Sam Curran,England,6 50,0,England Vs New Zealand,0,4,26,2,2,T20I   1858
8,2,1,Mark Wood,England,8 33,0,England Vs New Zealand,0,3,25,1,1,T20I   1858
4,3,0,Liam Livingstone,England,8 66,0,England Vs New Zealand,0,3,26,0,0,T20I   1858
2,2,0,Ben Stokes,England,10 00,0,England Vs New Zealand,0,1,10,1,0,T20I   1858
17,0,1,Fred Klaassen,Netherlands,4 25,0,Zimbabwe Vs Netherlands,0,4,17,1,2,T20I   1859
13,3,0,Paul van Meekeren,Netherlands,7 25,0,Zimbabwe Vs Netherlands,0,4,29,3,2,T20I   1859
15,2,2,Brandon Glover,Netherlands,7 25,1,Zimbabwe Vs Netherlands,0,4,29,2,2,T20I   1859
8,1,1,Logan van Beek,Netherlands,7 28,0,Zimbabwe Vs Netherlands,0,2 2,17,2,1,T20I   1859
11,0,0,Bas de Leede,Netherlands,3 50,0,Zimbabwe Vs Netherlands,0,4,14,2,0,T20I   1859
2,1,0,Roelof van der Merwe,Netherlands,8 00,0,Zimbabwe Vs Netherlands,0,1,8,0,0,T20I   1859
14,4,0,Tendai Chatara,Zimbabwe,5 50,0,Zimbabwe Vs Netherlands,0,4,22,0,0,T20I   1859
15,1,1,Richard Ngarava,Zimbabwe,4 50,0,Zimbabwe Vs Netherlands,0,4,18,2,0,T20I   1859
14,2,1,Blessing Muzarabani,Zimbabwe,5 75,0,Zimbabwe Vs Netherlands,0,4,23,2,1,T20I   1859
8,2,1,Sean Williams,Zimbabwe,7 00,0,Zimbabwe Vs Netherlands,0,3,21,0,0,T20I   1859
0,0,0,Sikandar Raza,Zimbabwe,6 00,0,Zimbabwe Vs Netherlands,0,1,6,0,0,T20I   1859
3,4,0,Luke Jongwe,Zimbabwe,12 50,0,Zimbabwe Vs Netherlands,1,2,25,1,3,T20I   1859
16,2,0,Taskin Ahmed,Bangladesh,3 75,0,India Vs Bangladesh,0,4,15,0,0,T20I   1860
7,4,4,Shoriful Islam,Bangladesh,14 25,0,India Vs Bangladesh,2,4,57,0,2,T20I   1860
7,6,2,Hasan Mahmud,Bangladesh,11 75,0,India Vs Bangladesh,1,4,47,3,0,T20I   1860
9,4,0,Mustafizur Rahman,Bangladesh,7 75,0,India Vs Bangladesh,0,4,31,0,0,T20I   1860
3,2,0,Shakib Al Hasan,Bangladesh,8 25,0,India Vs Bangladesh,0,4,33,2,0,T20I   1860
7,2,2,Bhuvneshwar Kumar,India,9 00,0,India Vs Bangladesh,0,3,27,0,0,T20I   1860
10,5,1,Arshdeep Singh,India,9 50,0,India Vs Bangladesh,0,4,38,2,0,T20I   1860
7,2,1,Mohammed Shami,India,8 33,0,India Vs Bangladesh,0,3,25,1,0,T20I   1860
2,0,0,Axar Patel,India,6 00,0,India Vs Bangladesh,0,1,6,0,0,T20I   1860
4,3,0,Ravichandran Ashwin,India,9 50,0,India Vs Bangladesh,0,2,19,0,1,T20I   1860
8,1,3,Hardik Pandya,India,9 33,0,India Vs Bangladesh,0,3,28,2,0,T20I   1860
10,3,1,Wayne Parnell,South Africa,7 75,0,Pakistan Vs South Africa,0,4,31,1,0,T20I   1861
7,4,2,Kagiso Rabada,South Africa,11 00,0,Pakistan Vs South Africa,0,4,44,1,0,T20I   1861
11,3,1,Lungi Ngidi,South Africa,8 00,0,Pakistan Vs South Africa,0,4,32,1,2,T20I   1861
11,1,4,Anrich Nortje,South Africa,10 25,0,Pakistan Vs South Africa,1,4,41,4,0,T20I   1861
8,2,2,Tabraiz Shamsi,South Africa,9 00,0,Pakistan Vs South Africa,0,4,36,1,2,T20I   1861
11,2,0,Shaheen Shah Afridi,Pakistan,4 66,0,Pakistan Vs South Africa,0,3,14,3,0,T20I   1861
10,1,1,Naseem Shah,Pakistan,6 33,0,Pakistan Vs South Africa,0,3,19,1,1,T20I   1861
2,7,1,Haris Rauf,Pakistan,14 66,0,Pakistan Vs South Africa,0,3,44,1,1,T20I   1861
3,1,0,Mohammad Wasim,Pakistan,6 50,0,Pakistan Vs South Africa,0,2,13,1,0,T20I   1861
5,1,1,Shadab Khan,Pakistan,8 00,0,Pakistan Vs South Africa,0,2,16,2,0,T20I   1861
4,0,0,Mohammad Nawaz,Pakistan,2 00,0,Pakistan Vs South Africa,0,1,2,0,0,T20I   1861
10,2,0,Josh Little,Ireland,5 50,0,New Zealand Vs Ireland,0,4,22,3,1,T20I   1862
9,3,1,Mark Adair,Ireland,9 75,0,New Zealand Vs Ireland,0,4,39,1,3,T20I   1862
4,4,2,Barry McCarthy,Ireland,11 50,0,New Zealand Vs Ireland,0,4,46,0,0,T20I   1862
11,3,1,Gareth Delany,Ireland,7 50,0,New Zealand Vs Ireland,0,4,30,2,1,T20I   1862
2,2,1,Fionn Hand,Ireland,11 00,0,New Zealand Vs Ireland,0,2,22,0,0,T20I   1862
4,2,0,George Dockrell,Ireland,9 00,0,New Zealand Vs Ireland,0,2,18,0,2,T20I   1862
8,4,1,Trent Boult,New Zealand,9 50,0,New Zealand Vs Ireland,0,4,38,0,0,T20I   1862
8,2,1,Tim Southee,New Zealand,7 25,0,New Zealand Vs Ireland,0,4,29,2,0,T20I   1862
10,1,0,Lockie Ferguson,New Zealand,5 50,0,New Zealand Vs Ireland,0,4,22,3,0,T20I   1862
12,3,1,Mitchell Santner,New Zealand,6 50,0,New Zealand Vs Ireland,0,4,26,2,0,T20I   1862
10,0,2,Ish Sodhi,New Zealand,7 75,0,New Zealand Vs Ireland,0,4,31,2,1,T20I   1862
13,4,1,Fazalhaq Farooqi,Afghanistan,7 25,0,Australia Vs Afghanistan,0,4,29,2,0,T20I   1864
5,4,1,Mujeeb Ur Rahman,Afghanistan,10 50,0,Australia Vs Afghanistan,0,4,42,1,1,T20I   1864
11,2,0,Naveen ul Haq,Afghanistan,5 25,0,Australia Vs Afghanistan,0,4,21,3,0,T20I   1864
6,3,2,Gulbadin Naib,Afghanistan,10 33,0,Australia Vs Afghanistan,0,3,31,0,0,T20I   1864
9,2,1,Rashid Khan,Afghanistan,7 25,0,Australia Vs Afghanistan,0,4,29,1,1,T20I   1864
1,1,1,Mohammad Nabi,Afghanistan,14 00,0,Australia Vs Afghanistan,0,1,14,0,0,T20I   1864
13,2,3,Josh Hazlewood,Australia,8 25,0,Australia Vs Afghanistan,0,4,33,2,0,T20I   1864
12,2,0,Pat Cummins,Australia,5 50,0,Australia Vs Afghanistan,0,4,22,0,0,T20I   1864
2,2,1,Marcus Stoinis,Australia,13 00,0,Australia Vs Afghanistan,0,2,26,0,2,T20I   1864
4,3,3,Kane Richardson,Australia,12 00,0,Australia Vs Afghanistan,0,4,48,1,1,T20I   1864
11,1,0,Adam Zampa,Australia,5 50,0,Australia Vs Afghanistan,0,4,22,2,0,T20I   1864
7,1,1,Cameron Green,Australia,6 50,0,Australia Vs Afghanistan,0,2,13,0,0,T20I   1864
8,1,2,Ben Stokes,England,8 00,0,Sri Lanka Vs England,0,3,24,1,0,T20I   1867
5,3,0,Chris Woakes,England,8 00,0,Sri Lanka Vs England,0,3,24,1,1,T20I   1867
8,1,2,Mark Wood,England,8 66,0,Sri Lanka Vs England,0,3,26,3,1,T20I   1867
10,2,1,Sam Curran,England,6 75,0,Sri Lanka Vs England,0,4,27,1,0,T20I   1867
11,0,0,Adil Rashid,England,4 00,0,Sri Lanka Vs England,0,4,16,1,0,T20I   1867
2,0,1,Liam Livingstone,England,8 00,0,Sri Lanka Vs England,0,2,16,0,0,T20I   1867
1,0,0,Moeen Ali,England,5 00,0,Sri Lanka Vs England,0,1,5,0,0,T20I   1867
11,1,0,Maheesh Theekshana,Sri Lanka,5 50,0,Sri Lanka Vs England,0,4,22,0,1,T20I   1867
4,5,1,Kasun Rajitha,Sri Lanka,13 33,0,Sri Lanka Vs England,0,3,40,0,2,T20I   1867
11,3,0,Lahiru Kumara,Sri Lanka,6 54,0,Sri Lanka Vs England,1,3 4,24,2,0,T20I   1867
11,1,1,Wanindu Hasaranga de Silva,Sri Lanka,5 75,0,Sri Lanka Vs England,0,4,23,2,0,T20I   1867
7,1,0,Dhananjaya de Silva,Sri Lanka,6 00,0,Sri Lanka Vs England,0,4,24,2,0,T20I   1867
1,1,0,Charith Asalanka,Sri Lanka,8 00,0,Sri Lanka Vs England,0,1,8,0,0,T20I   1867
10,2,2,Wayne Parnell,South Africa,8 00,0,Netherlands Vs South Africa,0,4,32,0,1,T20I   1871
6,7,0,Kagiso Rabada,South Africa,12 33,0,Netherlands Vs South Africa,0,3,37,0,0,T20I   1871
3,5,0,Lungi Ngidi,South Africa,11 66,0,Netherlands Vs South Africa,0,3,35,0,0,T20I   1871
14,0,0,Anrich Nortje,South Africa,2 50,0,Netherlands Vs South Africa,0,4,10,1,0,T20I   1871
12,1,2,Keshav Maharaj,South Africa,6 75,0,Netherlands Vs South Africa,0,4,27,2,0,T20I   1871
3,0,1,Aiden Markram,South Africa,8 00,0,Netherlands Vs South Africa,0,2,16,1,1,T20I   1871
15,3,0,Fred Klaassen,Netherlands,5 00,0,Netherlands Vs South Africa,0,4,20,2,0,T20I   1871
5,1,2,Paul van Meekeren,Netherlands,11 00,0,Netherlands Vs South Africa,1,3,33,1,1,T20I   1871
6,1,0,Colin Ackermann,Netherlands,5 33,0,Netherlands Vs South Africa,0,3,16,0,0,T20I   1871
2,2,0,Roelof van der Merwe,Netherlands,9 50,0,Netherlands Vs South Africa,0,2,19,0,0,T20I   1871
5,0,0,Brandon Glover,Netherlands,4 50,0,Netherlands Vs South Africa,0,2,9,3,1,T20I   1871
4,1,1,Logan van Beek,Netherlands,7 66,0,Netherlands Vs South Africa,0,3,23,0,0,T20I   1871
4,1,0,Bas de Leede,Netherlands,8 33,0,Netherlands Vs South Africa,2,3,25,2,1,T20I   1871
13,2,1,Shaheen Shah Afridi,Pakistan,5 50,0,Bangladesh Vs Pakistan,0,4,22,4,0,T20I   1872
9,2,0,Naseem Shah,Pakistan,5 00,0,Bangladesh Vs Pakistan,0,3,15,0,0,T20I   1872
5,1,1,Mohammad Wasim,Pakistan,9 50,0,Bangladesh Vs Pakistan,0,2,19,0,1,T20I   1872
11,2,0,Haris Rauf,Pakistan,5 25,0,Bangladesh Vs Pakistan,0,4,21,1,0,T20I   1872
8,3,0,Shadab Khan,Pakistan,7 50,0,Bangladesh Vs Pakistan,0,4,30,2,0,T20I   1872
9,2,0,Iftikhar Ahmed,Pakistan,5 00,0,Bangladesh Vs Pakistan,0,3,15,1,0,T20I   1872
10,1,2,Taskin Ahmed,Bangladesh,8 66,0,Bangladesh Vs Pakistan,1,3,26,0,0,T20I   1872
13,0,0,Nasum Ahmed,Bangladesh,3 50,0,Bangladesh Vs Pakistan,0,4,14,1,2,T20I   1872
6,5,0,Shakib Al Hasan,Bangladesh,8 75,0,Bangladesh Vs Pakistan,0,4,35,1,0,T20I   1872
8,0,0,Mustafizur Rahman,Bangladesh,5 25,0,Bangladesh Vs Pakistan,0,4,21,1,0,T20I   1872
7,1,1,Ebadot Hossain,Bangladesh,7 89,0,Bangladesh Vs Pakistan,1,3 1,25,1,0,T20I   1872
12,2,4,Richard Ngarava,Zimbabwe,11 00,1,India Vs Zimbabwe,1,4,44,1,1,T20I   1873
5,3,1,Tendai Chatara,Zimbabwe,8 50,0,India Vs Zimbabwe,0,4,34,0,0,T20I   1873
5,8,0,Blessing Muzarabani,Zimbabwe,12 50,0,India Vs Zimbabwe,0,4,50,1,1,T20I   1873
5,1,0,Wellington Masakadza,Zimbabwe,6 00,0,India Vs Zimbabwe,0,2,12,0,1,T20I   1873
1,1,1,Ryan Burl,Zimbabwe,14 00,0,India Vs Zimbabwe,0,1,14,0,0,T20I   1873
5,0,1,Sikandar Raza,Zimbabwe,6 00,0,India Vs Zimbabwe,0,3,18,1,0,T20I   1873
6,0,0,Sean Williams,Zimbabwe,4 50,0,India Vs Zimbabwe,0,2,9,2,2,T20I   1873
14,1,0,Bhuvneshwar Kumar,India,3 66,1,India Vs Zimbabwe,0,3,11,1,1,T20I   1873
9,1,0,Arshdeep Singh,India,4 50,0,India Vs Zimbabwe,0,2,9,1,2,T20I   1873
7,1,1,Mohammed Shami,India,7 00,0,India Vs Zimbabwe,0,2,14,2,0,T20I   1873
10,1,0,Hardik Pandya,India,5 33,0,India Vs Zimbabwe,1,3,16,2,2,T20I   1873
13,3,0,Ravichandran Ashwin,India,5 50,0,India Vs Zimbabwe,0,4,22,3,1,T20I   1873
4,5,1,Axar Patel,India,12 00,0,India Vs Zimbabwe,0,3 2,40,1,0,T20I   1873
11,2,0,Shaheen Shah Afridi,Pakistan,6 00,0,New Zealand Vs Pakistan,0,4,24,2,0,T20I   1877
8,3,0,Naseem Shah,Pakistan,7 50,0,New Zealand Vs Pakistan,0,4,30,0,0,T20I   1877
6,2,0,Haris Rauf,Pakistan,8 00,0,New Zealand Vs Pakistan,0,4,32,0,0,T20I   1877
3,0,1,Mohammad Wasim,Pakistan,7 50,0,New Zealand Vs Pakistan,0,2,15,0,0,T20I   1877
7,3,1,Shadab Khan,Pakistan,8 25,0,New Zealand Vs Pakistan,0,4,33,0,0,T20I   1877
2,0,0,Mohammad Nawaz,Pakistan,6 00,0,New Zealand Vs Pakistan,0,2,12,1,0,T20I   1877
9,5,0,Trent Boult,New Zealand,8 25,0,New Zealand Vs Pakistan,0,4,33,2,0,T20I   1877
7,3,0,Tim Southee,New Zealand,7 57,0,New Zealand Vs Pakistan,0,3 1,24,0,2,T20I   1877
7,4,1,Lockie Ferguson,New Zealand,9 25,0,New Zealand Vs Pakistan,0,4,37,0,1,T20I   1877
6,1,0,Mitchell Santner,New Zealand,6 50,0,New Zealand Vs Pakistan,0,4,26,1,0,T20I   1877
4,1,0,Ish Sodhi,New Zealand,6 50,0,New Zealand Vs Pakistan,0,4,26,0,0,T20I   1877
5,2,1,Ben Stokes,England,9 00,0,India Vs England,0,2,18,0,0,T20I   1878
5,1,1,Chris Woakes,England,8 00,0,India Vs England,0,3,24,1,2,T20I   1878
9,5,2,Sam Curran,England,10 50,0,India Vs England,0,4,42,0,0,T20I   1878
8,1,0,Adil Rashid,England,5 00,0,India Vs England,0,4,20,1,0,T20I   1878
7,3,0,Liam Livingstone,England,7 00,0,India Vs England,0,3,21,0,0,T20I   1878
8,3,3,Chris Jordan,England,10 75,0,India Vs England,0,4,43,3,1,T20I   1878
4,3,1,Bhuvneshwar Kumar,India,12 50,0,India Vs England,0,2,25,0,1,T20I   1878
4,2,0,Arshdeep Singh,India,7 50,0,India Vs England,0,2,15,0,1,T20I   1878
10,2,2,Axar Patel,India,7 50,0,India Vs England,0,4,30,0,0,T20I   1878
7,4,3,Mohammed Shami,India,13 00,0,India Vs England,0,3,39,0,0,T20I   1878
1,1,2,Ravichandran Ashwin,India,13 50,0,India Vs England,0,2,27,0,1,T20I   1878
5,1,2,Hardik Pandya,India,11 33,0,India Vs England,0,3,34,0,0,T20I   1878
6,1,0,Ben Stokes,England,8 00,0,Pakistan Vs England,1,4,32,1,2,T20I   1879
7,2,1,Chris Woakes,England,8 66,0,Pakistan Vs England,0,3,26,0,2,T20I   1879
15,0,0,Sam Curran,England,3 00,0,Pakistan Vs England,0,4,12,3,0,T20I   1879
10,1,0,Adil Rashid,England,5 50,1,Pakistan Vs England,0,4,22,2,1,T20I   1879
9,3,0,Chris Jordan,England,6 75,0,Pakistan Vs England,0,4,27,2,0,T20I   1879
1,1,1,Liam Livingstone,England,16 00,0,Pakistan Vs England,0,1,16,0,1,T20I   1879
6,1,0,Shaheen Shah Afridi,Pakistan,6 00,0,Pakistan Vs England,0,2 1,13,1,0,T20I   1879
15,3,1,Naseem Shah,Pakistan,7 50,0,Pakistan Vs England,0,4,30,0,1,T20I   1879
13,3,0,Haris Rauf,Pakistan,5 75,0,Pakistan Vs England,0,4,23,2,1,T20I   1879
10,1,0,Shadab Khan,Pakistan,5 00,0,Pakistan Vs England,0,4,20,1,0,T20I   1879
5,5,0,Mohammad Wasim,Pakistan,9 50,0,Pakistan Vs England,0,4,38,1,2,T20I   1879
0,1,1,Iftikhar Ahmed,Pakistan,15 60,0,Pakistan Vs England,0,0 5,13,0,0,T20I   1879
